ID,Title,Difficulty,Tags,Link
1975,Maximum Matrix Sum,Medium,"Array, Greedy, Matrix",https://leetcode.com/problems/maximum-matrix-sum/
1976,Number of Ways to Arrive at Destination,Medium,"Dynamic Programming, Graph, Topological Sort, Shortest Path",https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/
1977,Number of Ways to Separate Numbers,Hard,"String, Dynamic Programming, Suffix Array",https://leetcode.com/problems/number-of-ways-to-separate-numbers/
1978,Employees Whose Manager Left the Company,Easy,Database,https://leetcode.com/problems/employees-whose-manager-left-the-company/
1979,Find Greatest Common Divisor of Array,Easy,"Array, Math, Number Theory",https://leetcode.com/problems/find-greatest-common-divisor-of-array/
1980,Find Unique Binary String,Medium,"Array, Hash Table, String, Backtracking",https://leetcode.com/problems/find-unique-binary-string/
1981,Minimize the Difference Between Target and Chosen Elements,Medium,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements/
1982,Find Array Given Subset Sums,Hard,"Array, Divide and Conquer",https://leetcode.com/problems/find-array-given-subset-sums/
1983,Widest Pair of Indices With Equal Range Sum,Medium,"Array, Hash Table, Prefix Sum",https://leetcode.com/problems/widest-pair-of-indices-with-equal-range-sum/
1984,Minimum Difference Between Highest and Lowest of K Scores,Easy,"Array, Sliding Window, Sorting",https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores/
1985,Find the Kth Largest Integer in the Array,Medium,"Array, String, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",https://leetcode.com/problems/find-the-kth-largest-integer-in-the-array/
1986,Minimum Number of Work Sessions to Finish the Tasks,Medium,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",https://leetcode.com/problems/minimum-number-of-work-sessions-to-finish-the-tasks/
1987,Number of Unique Good Subsequences,Hard,"String, Dynamic Programming",https://leetcode.com/problems/number-of-unique-good-subsequences/
1988,Find Cutoff Score for Each School,Medium,Database,https://leetcode.com/problems/find-cutoff-score-for-each-school/
1989,Maximum Number of People That Can Be Caught in Tag,Medium,"Array, Greedy",https://leetcode.com/problems/maximum-number-of-people-that-can-be-caught-in-tag/
1990,Count the Number of Experiments,Medium,Database,https://leetcode.com/problems/count-the-number-of-experiments/
1991,Find the Middle Index in Array,Easy,"Array, Prefix Sum",https://leetcode.com/problems/find-the-middle-index-in-array/
1992,Find All Groups of Farmland,Medium,"Array, Depth-First Search, Breadth-First Search, Matrix",https://leetcode.com/problems/find-all-groups-of-farmland/
1993,Operations on Tree,Medium,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search, Design",https://leetcode.com/problems/operations-on-tree/
1994,The Number of Good Subsets,Hard,"Array, Hash Table, Math, Dynamic Programming, Bit Manipulation, Counting, Number Theory, Bitmask",https://leetcode.com/problems/the-number-of-good-subsets/
1995,Count Special Quadruplets,Easy,"Array, Hash Table, Enumeration",https://leetcode.com/problems/count-special-quadruplets/
1996,The Number of Weak Characters in the Game,Medium,"Array, Stack, Greedy, Sorting, Monotonic Stack",https://leetcode.com/problems/the-number-of-weak-characters-in-the-game/
1997,First Day Where You Have Been in All the Rooms,Medium,"Array, Dynamic Programming",https://leetcode.com/problems/first-day-where-you-have-been-in-all-the-rooms/
1998,GCD Sort of an Array,Hard,"Array, Math, Union Find, Sorting, Number Theory",https://leetcode.com/problems/gcd-sort-of-an-array/
1999,Smallest Greater Multiple Made of Two Digits,Medium,"Math, Enumeration",https://leetcode.com/problems/smallest-greater-multiple-made-of-two-digits/
2000,Reverse Prefix of Word,Easy,"Two Pointers, String, Stack",https://leetcode.com/problems/reverse-prefix-of-word/
2001,Number of Pairs of Interchangeable Rectangles,Medium,"Array, Hash Table, Math, Counting, Number Theory",https://leetcode.com/problems/number-of-pairs-of-interchangeable-rectangles/
2002,Maximum Product of the Length of Two Palindromic Subsequences,Medium,"String, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",https://leetcode.com/problems/maximum-product-of-the-length-of-two-palindromic-subsequences/
2003,Smallest Missing Genetic Value in Each Subtree,Hard,"Dynamic Programming, Tree, Depth-First Search, Union Find",https://leetcode.com/problems/smallest-missing-genetic-value-in-each-subtree/
2004,The Number of Seniors and Juniors to Join the Company,Hard,Database,https://leetcode.com/problems/the-number-of-seniors-and-juniors-to-join-the-company/
2005,Subtree Removal Game with Fibonacci Tree,Hard,"Math, Dynamic Programming, Tree, Binary Tree, Game Theory",https://leetcode.com/problems/subtree-removal-game-with-fibonacci-tree/
2006,Count Number of Pairs With Absolute Difference K,Easy,"Array, Hash Table, Counting",https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k/
2007,Find Original Array From Doubled Array,Medium,"Array, Hash Table, Greedy, Sorting",https://leetcode.com/problems/find-original-array-from-doubled-array/
2008,Maximum Earnings From Taxi,Medium,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting",https://leetcode.com/problems/maximum-earnings-from-taxi/
2009,Minimum Number of Operations to Make Array Continuous,Hard,"Array, Hash Table, Binary Search, Sliding Window",https://leetcode.com/problems/minimum-number-of-operations-to-make-array-continuous/
2010,The Number of Seniors and Juniors to Join the Company II,Hard,Database,https://leetcode.com/problems/the-number-of-seniors-and-juniors-to-join-the-company-ii/
2011,Final Value of Variable After Performing Operations,Easy,"Array, String, Simulation",https://leetcode.com/problems/final-value-of-variable-after-performing-operations/
2012,Sum of Beauty in the Array,Medium,Array,https://leetcode.com/problems/sum-of-beauty-in-the-array/
2013,Detect Squares,Medium,"Array, Hash Table, Design, Counting",https://leetcode.com/problems/detect-squares/
2014,Longest Subsequence Repeated k Times,Hard,"String, Backtracking, Greedy, Counting, Enumeration",https://leetcode.com/problems/longest-subsequence-repeated-k-times/
2015,Average Height of Buildings in Each Segment,Medium,"Array, Greedy, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/average-height-of-buildings-in-each-segment/
2016,Maximum Difference Between Increasing Elements,Easy,Array,https://leetcode.com/problems/maximum-difference-between-increasing-elements/
2017,Grid Game,Medium,"Array, Matrix, Prefix Sum",https://leetcode.com/problems/grid-game/
2018,Check if Word Can Be Placed In Crossword,Medium,"Array, Matrix, Enumeration",https://leetcode.com/problems/check-if-word-can-be-placed-in-crossword/
2019,The Score of Students Solving Math Expression,Hard,"Array, Hash Table, Math, String, Dynamic Programming, Stack, Memoization",https://leetcode.com/problems/the-score-of-students-solving-math-expression/
2020,Number of Accounts That Did Not Stream,Medium,Database,https://leetcode.com/problems/number-of-accounts-that-did-not-stream/
2021,Brightest Position on Street,Medium,"Array, Sorting, Prefix Sum, Ordered Set",https://leetcode.com/problems/brightest-position-on-street/
2022,Convert 1D Array Into 2D Array,Easy,"Array, Matrix, Simulation",https://leetcode.com/problems/convert-1d-array-into-2d-array/
2023,Number of Pairs of Strings With Concatenation Equal to Target,Medium,"Array, Hash Table, String, Counting",https://leetcode.com/problems/number-of-pairs-of-strings-with-concatenation-equal-to-target/
2024,Maximize the Confusion of an Exam,Medium,"String, Binary Search, Sliding Window, Prefix Sum",https://leetcode.com/problems/maximize-the-confusion-of-an-exam/
2025,Maximum Number of Ways to Partition an Array,Hard,"Array, Hash Table, Counting, Enumeration, Prefix Sum",https://leetcode.com/problems/maximum-number-of-ways-to-partition-an-array/
2026,Low-Quality Problems,Easy,Database,https://leetcode.com/problems/low-quality-problems/
2027,Minimum Moves to Convert String,Easy,"String, Greedy",https://leetcode.com/problems/minimum-moves-to-convert-string/
2028,Find Missing Observations,Medium,"Array, Math, Simulation",https://leetcode.com/problems/find-missing-observations/
2029,Stone Game IX,Medium,"Array, Math, Greedy, Counting, Game Theory",https://leetcode.com/problems/stone-game-ix/
2030,Smallest K-Length Subsequence With Occurrences of a Letter,Hard,"String, Stack, Greedy, Monotonic Stack",https://leetcode.com/problems/smallest-k-length-subsequence-with-occurrences-of-a-letter/
2031,Count Subarrays With More Ones Than Zeros,Medium,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set",https://leetcode.com/problems/count-subarrays-with-more-ones-than-zeros/
2032,Two Out of Three,Easy,"Array, Hash Table, Bit Manipulation",https://leetcode.com/problems/two-out-of-three/
2033,Minimum Operations to Make a Uni-Value Grid,Medium,"Array, Math, Sorting, Matrix",https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid/
2034,Stock Price Fluctuation,Medium,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set",https://leetcode.com/problems/stock-price-fluctuation/
2035,Partition Array Into Two Arrays to Minimize Sum Difference,Hard,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask",https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/
2036,Maximum Alternating Subarray Sum,Medium,"Array, Dynamic Programming",https://leetcode.com/problems/maximum-alternating-subarray-sum/
2037,Minimum Number of Moves to Seat Everyone,Easy,"Array, Greedy, Sorting, Counting Sort",https://leetcode.com/problems/minimum-number-of-moves-to-seat-everyone/
2038,Remove Colored Pieces if Both Neighbors are the Same Color,Medium,"Math, String, Greedy, Game Theory",https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color/
2039,The Time When the Network Becomes Idle,Medium,"Array, Breadth-First Search, Graph",https://leetcode.com/problems/the-time-when-the-network-becomes-idle/
2040,Kth Smallest Product of Two Sorted Arrays,Hard,"Array, Binary Search",https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays/
2041,Accepted Candidates From the Interviews,Medium,Database,https://leetcode.com/problems/accepted-candidates-from-the-interviews/
2042,Check if Numbers Are Ascending in a Sentence,Easy,String,https://leetcode.com/problems/check-if-numbers-are-ascending-in-a-sentence/
2043,Simple Bank System,Medium,"Array, Hash Table, Design, Simulation",https://leetcode.com/problems/simple-bank-system/
2044,Count Number of Maximum Bitwise-OR Subsets,Medium,"Array, Backtracking, Bit Manipulation, Enumeration",https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets/
2045,Second Minimum Time to Reach Destination,Hard,"Breadth-First Search, Graph, Shortest Path",https://leetcode.com/problems/second-minimum-time-to-reach-destination/
2046,Sort Linked List Already Sorted Using Absolute Values,Medium,"Linked List, Two Pointers, Sorting",https://leetcode.com/problems/sort-linked-list-already-sorted-using-absolute-values/
2047,Number of Valid Words in a Sentence,Easy,String,https://leetcode.com/problems/number-of-valid-words-in-a-sentence/
2048,Next Greater Numerically Balanced Number,Medium,"Hash Table, Math, Backtracking, Counting, Enumeration",https://leetcode.com/problems/next-greater-numerically-balanced-number/
2049,Count Nodes With the Highest Score,Medium,"Array, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/count-nodes-with-the-highest-score/
2050,Parallel Courses III,Hard,"Array, Dynamic Programming, Graph, Topological Sort",https://leetcode.com/problems/parallel-courses-iii/
2051,The Category of Each Member in the Store,Medium,Database,https://leetcode.com/problems/the-category-of-each-member-in-the-store/
2052,Minimum Cost to Separate Sentence Into Rows,Medium,"Array, Dynamic Programming",https://leetcode.com/problems/minimum-cost-to-separate-sentence-into-rows/
2053,Kth Distinct String in an Array,Easy,"Array, Hash Table, String, Counting",https://leetcode.com/problems/kth-distinct-string-in-an-array/
2054,Two Best Non-Overlapping Events,Medium,"Array, Binary Search, Dynamic Programming, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/two-best-non-overlapping-events/
2055,Plates Between Candles,Medium,"Array, String, Binary Search, Prefix Sum",https://leetcode.com/problems/plates-between-candles/
2056,Number of Valid Move Combinations On Chessboard,Hard,"Array, String, Backtracking, Simulation",https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard/
2057,Smallest Index With Equal Value,Easy,Array,https://leetcode.com/problems/smallest-index-with-equal-value/
2058,Find the Minimum and Maximum Number of Nodes Between Critical Points,Medium,Linked List,https://leetcode.com/problems/find-the-minimum-and-maximum-number-of-nodes-between-critical-points/
2059,Minimum Operations to Convert Number,Medium,"Array, Breadth-First Search",https://leetcode.com/problems/minimum-operations-to-convert-number/
2060,Check if an Original String Exists Given Two Encoded Strings,Hard,"String, Dynamic Programming",https://leetcode.com/problems/check-if-an-original-string-exists-given-two-encoded-strings/
2061,Number of Spaces Cleaning Robot Cleaned,Medium,"Array, Matrix, Simulation",https://leetcode.com/problems/number-of-spaces-cleaning-robot-cleaned/
2062,Count Vowel Substrings of a String,Easy,"Hash Table, String",https://leetcode.com/problems/count-vowel-substrings-of-a-string/
2063,Vowels of All Substrings,Medium,"Math, String, Dynamic Programming, Combinatorics",https://leetcode.com/problems/vowels-of-all-substrings/
2064,Minimized Maximum of Products Distributed to Any Store,Medium,"Array, Binary Search, Greedy",https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store/
2065,Maximum Path Quality of a Graph,Hard,"Array, Backtracking, Graph",https://leetcode.com/problems/maximum-path-quality-of-a-graph/
2066,Account Balance,Medium,Database,https://leetcode.com/problems/account-balance/
2067,Number of Equal Count Substrings,Medium,"Hash Table, String, Sliding Window, Counting",https://leetcode.com/problems/number-of-equal-count-substrings/
2068,Check Whether Two Strings are Almost Equivalent,Easy,"Hash Table, String, Counting",https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent/
2069,Walking Robot Simulation II,Medium,"Design, Simulation",https://leetcode.com/problems/walking-robot-simulation-ii/
2070,Most Beautiful Item for Each Query,Medium,"Array, Binary Search, Sorting",https://leetcode.com/problems/most-beautiful-item-for-each-query/
2071,Maximum Number of Tasks You Can Assign,Hard,"Array, Two Pointers, Binary Search, Greedy, Queue, Sorting, Monotonic Queue",https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign/
2072,The Winner University,Easy,Database,https://leetcode.com/problems/the-winner-university/
2073,Time Needed to Buy Tickets,Easy,"Array, Queue, Simulation",https://leetcode.com/problems/time-needed-to-buy-tickets/
2074,Reverse Nodes in Even Length Groups,Medium,Linked List,https://leetcode.com/problems/reverse-nodes-in-even-length-groups/
2075,Decode the Slanted Ciphertext,Medium,"String, Simulation",https://leetcode.com/problems/decode-the-slanted-ciphertext/
2076,Process Restricted Friend Requests,Hard,"Union Find, Graph",https://leetcode.com/problems/process-restricted-friend-requests/
2077,Paths in Maze That Lead to Same Room,Medium,Graph,https://leetcode.com/problems/paths-in-maze-that-lead-to-same-room/
2078,Two Furthest Houses With Different Colors,Easy,"Array, Greedy",https://leetcode.com/problems/two-furthest-houses-with-different-colors/
2079,Watering Plants,Medium,"Array, Simulation",https://leetcode.com/problems/watering-plants/
2080,Range Frequency Queries,Medium,"Array, Hash Table, Binary Search, Design, Segment Tree",https://leetcode.com/problems/range-frequency-queries/
2081,Sum of k-Mirror Numbers,Hard,"Math, Enumeration",https://leetcode.com/problems/sum-of-k-mirror-numbers/
2082,The Number of Rich Customers,Easy,Database,https://leetcode.com/problems/the-number-of-rich-customers/
2083,Substrings That Begin and End With the Same Letter,Medium,"Hash Table, Math, String, Counting, Prefix Sum",https://leetcode.com/problems/substrings-that-begin-and-end-with-the-same-letter/
2084,Drop Type 1 Orders for Customers With Type 0 Orders,Medium,Database,https://leetcode.com/problems/drop-type-1-orders-for-customers-with-type-0-orders/
2085,Count Common Words With One Occurrence,Easy,"Array, Hash Table, String, Counting",https://leetcode.com/problems/count-common-words-with-one-occurrence/
2086,Minimum Number of Food Buckets to Feed the Hamsters,Medium,"String, Dynamic Programming, Greedy",https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters/
2087,Minimum Cost Homecoming of a Robot in a Grid,Medium,"Array, Greedy",https://leetcode.com/problems/minimum-cost-homecoming-of-a-robot-in-a-grid/
2088,Count Fertile Pyramids in a Land,Hard,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/count-fertile-pyramids-in-a-land/
2089,Find Target Indices After Sorting Array,Easy,"Array, Binary Search, Sorting",https://leetcode.com/problems/find-target-indices-after-sorting-array/
2090,K Radius Subarray Averages,Medium,"Array, Sliding Window",https://leetcode.com/problems/k-radius-subarray-averages/
2091,Removing Minimum and Maximum From Array,Medium,"Array, Greedy",https://leetcode.com/problems/removing-minimum-and-maximum-from-array/
2092,Find All People With Secret,Hard,"Depth-First Search, Breadth-First Search, Union Find, Graph, Sorting",https://leetcode.com/problems/find-all-people-with-secret/
2093,Minimum Cost to Reach City With Discounts,Medium,"Graph, Heap (Priority Queue), Shortest Path",https://leetcode.com/problems/minimum-cost-to-reach-city-with-discounts/
2094,Finding 3-Digit Even Numbers,Easy,"Array, Hash Table, Sorting, Enumeration",https://leetcode.com/problems/finding-3-digit-even-numbers/
2095,Delete the Middle Node of a Linked List,Medium,"Linked List, Two Pointers",https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/
2096,Step-By-Step Directions From a Binary Tree Node to Another,Medium,"String, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another/
2097,Valid Arrangement of Pairs,Hard,"Depth-First Search, Graph, Eulerian Circuit",https://leetcode.com/problems/valid-arrangement-of-pairs/
2098,Subsequence of Size K With the Largest Even Sum,Medium,"Array, Greedy, Sorting",https://leetcode.com/problems/subsequence-of-size-k-with-the-largest-even-sum/
2099,Find Subsequence of Length K With the Largest Sum,Easy,"Array, Hash Table, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum/
2100,Find Good Days to Rob the Bank,Medium,"Array, Dynamic Programming, Prefix Sum",https://leetcode.com/problems/find-good-days-to-rob-the-bank/
2101,Detonate the Maximum Bombs,Medium,"Array, Math, Depth-First Search, Breadth-First Search, Graph, Geometry",https://leetcode.com/problems/detonate-the-maximum-bombs/
2102,Sequentially Ordinal Rank Tracker,Hard,"Design, Heap (Priority Queue), Data Stream, Ordered Set",https://leetcode.com/problems/sequentially-ordinal-rank-tracker/
2103,Rings and Rods,Easy,"Hash Table, String",https://leetcode.com/problems/rings-and-rods/
2104,Sum of Subarray Ranges,Medium,"Array, Stack, Monotonic Stack",https://leetcode.com/problems/sum-of-subarray-ranges/
2105,Watering Plants II,Medium,"Array, Two Pointers, Simulation",https://leetcode.com/problems/watering-plants-ii/
2106,Maximum Fruits Harvested After at Most K Steps,Hard,"Array, Binary Search, Sliding Window, Prefix Sum",https://leetcode.com/problems/maximum-fruits-harvested-after-at-most-k-steps/
2107,Number of Unique Flavors After Sharing K Candies,Medium,"Array, Hash Table, Sliding Window",https://leetcode.com/problems/number-of-unique-flavors-after-sharing-k-candies/
2108,Find First Palindromic String in the Array,Easy,"Array, Two Pointers, String",https://leetcode.com/problems/find-first-palindromic-string-in-the-array/
2109,Adding Spaces to a String,Medium,"Array, Two Pointers, String, Simulation",https://leetcode.com/problems/adding-spaces-to-a-string/
2110,Number of Smooth Descent Periods of a Stock,Medium,"Array, Math, Dynamic Programming",https://leetcode.com/problems/number-of-smooth-descent-periods-of-a-stock/
2111,Minimum Operations to Make the Array K-Increasing,Hard,"Array, Binary Search",https://leetcode.com/problems/minimum-operations-to-make-the-array-k-increasing/
2112,The Airport With the Most Traffic,Medium,Database,https://leetcode.com/problems/the-airport-with-the-most-traffic/
2113,Elements in Array After Removing and Replacing Elements,Medium,Array,https://leetcode.com/problems/elements-in-array-after-removing-and-replacing-elements/
2114,Maximum Number of Words Found in Sentences,Easy,"Array, String",https://leetcode.com/problems/maximum-number-of-words-found-in-sentences/
2115,Find All Possible Recipes from Given Supplies,Medium,"Array, Hash Table, String, Graph, Topological Sort",https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies/
2116,Check if a Parentheses String Can Be Valid,Medium,"String, Stack, Greedy",https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid/
2117,Abbreviating the Product of a Range,Hard,Math,https://leetcode.com/problems/abbreviating-the-product-of-a-range/
2118,Build the Equation,Hard,Database,https://leetcode.com/problems/build-the-equation/
2119,A Number After a Double Reversal,Easy,Math,https://leetcode.com/problems/a-number-after-a-double-reversal/
2120,Execution of All Suffix Instructions Staying in a Grid,Medium,"String, Simulation",https://leetcode.com/problems/execution-of-all-suffix-instructions-staying-in-a-grid/
2121,Intervals Between Identical Elements,Medium,"Array, Hash Table, Prefix Sum",https://leetcode.com/problems/intervals-between-identical-elements/
2122,Recover the Original Array,Hard,"Array, Hash Table, Two Pointers, Sorting, Enumeration",https://leetcode.com/problems/recover-the-original-array/
2123,Minimum Operations to Remove Adjacent Ones in Matrix,Hard,"Array, Graph, Matrix",https://leetcode.com/problems/minimum-operations-to-remove-adjacent-ones-in-matrix/
2124,Check if All A's Appears Before All B's,Easy,String,https://leetcode.com/problems/check-if-all-as-appears-before-all-bs/
2125,Number of Laser Beams in a Bank,Medium,"Array, Math, String, Matrix",https://leetcode.com/problems/number-of-laser-beams-in-a-bank/
2126,Destroying Asteroids,Medium,"Array, Greedy, Sorting",https://leetcode.com/problems/destroying-asteroids/
2127,Maximum Employees to Be Invited to a Meeting,Hard,"Depth-First Search, Graph, Topological Sort",https://leetcode.com/problems/maximum-employees-to-be-invited-to-a-meeting/
2128,Remove All Ones With Row and Column Flips,Medium,"Array, Math, Bit Manipulation, Matrix",https://leetcode.com/problems/remove-all-ones-with-row-and-column-flips/
2129,Capitalize the Title,Easy,String,https://leetcode.com/problems/capitalize-the-title/
2130,Maximum Twin Sum of a Linked List,Medium,"Linked List, Two Pointers, Stack",https://leetcode.com/problems/maximum-twin-sum-of-a-linked-list/
2131,Longest Palindrome by Concatenating Two Letter Words,Medium,"Array, Hash Table, String, Greedy, Counting",https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words/
2132,Stamping the Grid,Hard,"Array, Greedy, Matrix, Prefix Sum",https://leetcode.com/problems/stamping-the-grid/
2133,Check if Every Row and Column Contains All Numbers,Easy,"Array, Hash Table, Matrix",https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers/
2134,Minimum Swaps to Group All 1's Together II,Medium,"Array, Sliding Window",https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii/
2135,Count Words Obtained After Adding a Letter,Medium,"Array, Hash Table, String, Bit Manipulation, Sorting",https://leetcode.com/problems/count-words-obtained-after-adding-a-letter/
2136,Earliest Possible Day of Full Bloom,Hard,"Array, Greedy, Sorting",https://leetcode.com/problems/earliest-possible-day-of-full-bloom/
2137,Pour Water Between Buckets to Make Water Levels Equal,Medium,"Array, Binary Search",https://leetcode.com/problems/pour-water-between-buckets-to-make-water-levels-equal/
2138,Divide a String Into Groups of Size k,Easy,"String, Simulation",https://leetcode.com/problems/divide-a-string-into-groups-of-size-k/
2139,Minimum Moves to Reach Target Score,Medium,"Math, Greedy",https://leetcode.com/problems/minimum-moves-to-reach-target-score/
2140,Solving Questions With Brainpower,Medium,"Array, Dynamic Programming",https://leetcode.com/problems/solving-questions-with-brainpower/
2141,Maximum Running Time of N Computers,Hard,"Array, Binary Search, Greedy, Sorting",https://leetcode.com/problems/maximum-running-time-of-n-computers/
2142,The Number of Passengers in Each Bus I,Medium,Database,https://leetcode.com/problems/the-number-of-passengers-in-each-bus-i/
2143,Choose Numbers From Two Arrays in Range,Hard,"Array, Dynamic Programming",https://leetcode.com/problems/choose-numbers-from-two-arrays-in-range/
2144,Minimum Cost of Buying Candies With Discount,Easy,"Array, Greedy, Sorting",https://leetcode.com/problems/minimum-cost-of-buying-candies-with-discount/
2145,Count the Hidden Sequences,Medium,"Array, Prefix Sum",https://leetcode.com/problems/count-the-hidden-sequences/
2146,K Highest Ranked Items Within a Price Range,Medium,"Array, Breadth-First Search, Sorting, Heap (Priority Queue), Matrix",https://leetcode.com/problems/k-highest-ranked-items-within-a-price-range/
2147,Number of Ways to Divide a Long Corridor,Hard,"Math, String, Dynamic Programming",https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor/
2148,Count Elements With Strictly Smaller and Greater Elements,Easy,"Array, Sorting, Counting",https://leetcode.com/problems/count-elements-with-strictly-smaller-and-greater-elements/
2149,Rearrange Array Elements by Sign,Medium,"Array, Two Pointers, Simulation",https://leetcode.com/problems/rearrange-array-elements-by-sign/
2150,Find All Lonely Numbers in the Array,Medium,"Array, Hash Table, Counting",https://leetcode.com/problems/find-all-lonely-numbers-in-the-array/
2151,Maximum Good People Based on Statements,Hard,"Array, Backtracking, Bit Manipulation, Enumeration",https://leetcode.com/problems/maximum-good-people-based-on-statements/
2152,Minimum Number of Lines to Cover Points,Medium,"Array, Hash Table, Math, Dynamic Programming, Backtracking, Bit Manipulation, Geometry, Bitmask",https://leetcode.com/problems/minimum-number-of-lines-to-cover-points/
2153,The Number of Passengers in Each Bus II,Hard,Database,https://leetcode.com/problems/the-number-of-passengers-in-each-bus-ii/
2154,Keep Multiplying Found Values by Two,Easy,"Array, Hash Table, Sorting, Simulation",https://leetcode.com/problems/keep-multiplying-found-values-by-two/
2155,All Divisions With the Highest Score of a Binary Array,Medium,Array,https://leetcode.com/problems/all-divisions-with-the-highest-score-of-a-binary-array/
2156,Find Substring With Given Hash Value,Hard,"String, Sliding Window, Rolling Hash, Hash Function",https://leetcode.com/problems/find-substring-with-given-hash-value/
2157,Groups of Strings,Hard,"String, Bit Manipulation, Union Find",https://leetcode.com/problems/groups-of-strings/
2158,Amount of New Area Painted Each Day,Hard,"Array, Segment Tree, Ordered Set",https://leetcode.com/problems/amount-of-new-area-painted-each-day/
2159,Order Two Columns Independently,Medium,Database,https://leetcode.com/problems/order-two-columns-independently/
2160,Minimum Sum of Four Digit Number After Splitting Digits,Easy,"Math, Greedy, Sorting",https://leetcode.com/problems/minimum-sum-of-four-digit-number-after-splitting-digits/
2161,Partition Array According to Given Pivot,Medium,"Array, Two Pointers, Simulation",https://leetcode.com/problems/partition-array-according-to-given-pivot/
2162,Minimum Cost to Set Cooking Time,Medium,"Math, Enumeration",https://leetcode.com/problems/minimum-cost-to-set-cooking-time/
2163,Minimum Difference in Sums After Removal of Elements,Hard,"Array, Dynamic Programming, Heap (Priority Queue)",https://leetcode.com/problems/minimum-difference-in-sums-after-removal-of-elements/
2164,Sort Even and Odd Indices Independently,Easy,"Array, Sorting",https://leetcode.com/problems/sort-even-and-odd-indices-independently/
2165,Smallest Value of the Rearranged Number,Medium,"Math, Sorting",https://leetcode.com/problems/smallest-value-of-the-rearranged-number/
2166,Design Bitset,Medium,"Array, Hash Table, String, Design",https://leetcode.com/problems/design-bitset/
2167,Minimum Time to Remove All Cars Containing Illegal Goods,Hard,"String, Dynamic Programming",https://leetcode.com/problems/minimum-time-to-remove-all-cars-containing-illegal-goods/
2168,Unique Substrings With Equal Digit Frequency,Medium,"Hash Table, String, Rolling Hash, Counting, Hash Function",https://leetcode.com/problems/unique-substrings-with-equal-digit-frequency/
2169,Count Operations to Obtain Zero,Easy,"Math, Simulation",https://leetcode.com/problems/count-operations-to-obtain-zero/
2170,Minimum Operations to Make the Array Alternating,Medium,"Array, Hash Table, Greedy, Counting",https://leetcode.com/problems/minimum-operations-to-make-the-array-alternating/
2171,Removing Minimum Number of Magic Beans,Medium,"Array, Greedy, Sorting, Enumeration, Prefix Sum",https://leetcode.com/problems/removing-minimum-number-of-magic-beans/
2172,Maximum AND Sum of Array,Hard,"Array, Dynamic Programming, Bit Manipulation, Bitmask",https://leetcode.com/problems/maximum-and-sum-of-array/
2173,Longest Winning Streak,Hard,Database,https://leetcode.com/problems/longest-winning-streak/
2174,Remove All Ones With Row and Column Flips II,Medium,"Array, Bit Manipulation, Breadth-First Search, Matrix",https://leetcode.com/problems/remove-all-ones-with-row-and-column-flips-ii/
2175,The Change in Global Rankings,Medium,Database,https://leetcode.com/problems/the-change-in-global-rankings/
2176,Count Equal and Divisible Pairs in an Array,Easy,Array,https://leetcode.com/problems/count-equal-and-divisible-pairs-in-an-array/
